year,region,species_code,sex,sex_desc,iss,nss,nhl
1996,goa,30420,2,female,61.18187489768582,214,15
1996,goa,30420,4,total_post,64.65982911690892,462,19
1996,goa,30420,12,female_male,134.74095002525888,462,19
1996,wcgoa,10110,0,total_pre,159.64407351511926,586,44
1996,wcgoa,10110,1,male,59.212634808045564,217,31
1996,wcgoa,10110,2,female,92.77248249212309,369,43
1996,wcgoa,10110,4,total_post,142.97154763652944,586,44
1996,wcgoa,10110,12,female_male,150.47327443352725,586,44
1996,wcgoa,10130,0,total_pre,97.37750809378224,358,41
1996,wcgoa,10130,1,male,39.107972378415454,162,30
1996,wcgoa,10130,2,female,54.901690952988716,196,35
1996,wcgoa,10130,4,total_post,87.67196929411948,358,41
1996,wcgoa,10130,12,female_male,96.14363948915704,358,41
1996,wcgoa,10180,0,total_pre,38.79856008606305,163,36
1996,wcgoa,10180,1,male,20.512965110466503,71,25
1996,wcgoa,10180,2,female,16.834746797058934,92,32
1996,wcgoa,10180,4,total_post,33.93928705327216,163,36
1996,wcgoa,10180,12,female_male,39.02352421232827,163,36
1996,wcgoa,10200,0,total_pre,53.41946232408464,301,58
1996,wcgoa,10200,1,male,27.99462326328718,131,31
1996,wcgoa,10200,2,female,30.7824375753612,170,45
1996,wcgoa,10200,4,total_post,53.48276525772644,301,58
1996,wcgoa,10200,12,female_male,59.53174452842861,301,58
1996,wcgoa,10261,0,total_pre,35.50508082191994,230,20
1996,wcgoa,10261,1,male,13.533924001545477,94,16
1996,wcgoa,10261,2,female,23.466108456294783,136,17
1996,wcgoa,10261,4,total_post,32.18957930951914,230,20
1996,wcgoa,10261,12,female_male,36.03221318926021,230,20
1996,wcgoa,10262,0,total_pre,54.4089215783176,268,29
1996,wcgoa,10262,1,male,26.435550678701215,87,19
1996,wcgoa,10262,2,female,31.386396817029958,181,29
1996,wcgoa,10262,4,total_post,46.66914335124027,268,29
1996,wcgoa,10262,12,female_male,49.31141863709843,268,29
1996,wcgoa,20510,0,total_pre,66.55230560587405,302,46
1996,wcgoa,20510,1,male,31.794790385223344,152,37
1996,wcgoa,20510,2,female,29.092340501407527,150,36
1996,wcgoa,20510,4,total_post,56.23268859865006,302,46
1996,wcgoa,20510,12,female_male,60.1113569177637,302,46
1996,wcgoa,21720,0,total_pre,41.5901320309088,771,87
1996,wcgoa,21720,1,male,23.47408459942417,386,68
1996,wcgoa,21720,2,female,44.144522591799195,385,77
1996,wcgoa,21720,4,total_post,36.60216353443803,771,87
1996,wcgoa,21720,12,female_male,61.37160456556209,771,87
1996,wcgoa,21740,0,total_pre,74.80682986299857,838,48
1996,wcgoa,21740,1,male,49.654021436336244,393,42
1996,wcgoa,21740,2,female,57.357877482318145,442,45
1996,wcgoa,21740,4,total_post,67.49582863947309,838,48
1996,wcgoa,21740,12,female_male,113.99318332657779,835,48
1996,wcgoa,30050,0,total_pre,93.0976290022009,482,37
1996,wcgoa,30050,1,male,43.22664455025038,241,32
1996,wcgoa,30050,2,female,62.24121578127252,240,29
1996,wcgoa,30050,4,total_post,82.14489838705707,482,37
1996,wcgoa,30050,12,female_male,105.5064057663686,481,37
1996,wcgoa,30060,0,total_pre,58.45800254143671,325,10
1996,wcgoa,30060,1,male,37.221696375252435,162,10
1996,wcgoa,30060,2,female,26.67734566352417,163,9
1996,wcgoa,30060,4,total_post,52.8518110436074,325,10
1996,wcgoa,30060,12,female_male,66.93190556639877,325,10
1996,wcgoa,30152,0,total_pre,60.3170748973144,402,27
1996,wcgoa,30152,1,male,36.007362172527266,199,25
1996,wcgoa,30152,2,female,32.94605437077067,203,20
1996,wcgoa,30152,4,total_post,51.618582831129444,402,27
1996,wcgoa,30152,12,female_male,68.87387396577097,402,27
1996,wcgoa,30420,0,total_pre,109.17907969394531,452,16
1996,wcgoa,30420,1,male,60.59833150639317,242,16
1996,wcgoa,30420,2,female,50.27680837329318,210,13
1996,wcgoa,30420,4,total_post,90.18124886373785,452,16
1996,wcgoa,30420,12,female_male,109.59246206621079,452,16
1999,egoa,10110,0,total_pre,37.19698591859951,144,10
1999,egoa,10110,1,male,14.787701371170915,58,9
1999,egoa,10110,2,female,22.20727989961682,86,10
1999,egoa,10110,4,total_post,30.60699992757081,144,10
1999,egoa,10110,12,female_male,37.89212182262442,144,10
1999,egoa,10130,0,total_pre,25.58516817794765,111,12
1999,egoa,10130,1,male,15.50639891536775,57,11
1999,egoa,10130,2,female,14.598077987109281,53,10
1999,egoa,10130,4,total_post,24.708214209248446,111,12
1999,egoa,10130,12,female_male,31.41688166228235,110,12
1999,egoa,10180,0,total_pre,42.532983941579914,158,17
1999,egoa,10180,1,male,18.696281336609932,79,12
1999,egoa,10180,2,female,24.75334240549395,79,15
1999,egoa,10180,4,total_post,39.607085170048805,158,17
1999,egoa,10180,12,female_male,42.12470487887448,158,17
1999,egoa,10200,0,total_pre,21.6293347116087,81,10
1999,egoa,10200,1,male,14.105805741459045,45,9
1999,egoa,10200,2,female,7.499054337512254,36,8
1999,egoa,10200,4,total_post,21.409914786114037,81,10
1999,egoa,10200,12,female_male,22.223071363633377,81,10
1999,egoa,20510,0,total_pre,43.72923211260074,247,58
1999,egoa,20510,1,male,27.59667153780205,124,47
1999,egoa,20510,2,female,28.878224364670647,123,42
1999,egoa,20510,4,total_post,41.38781250385583,247,58
1999,egoa,20510,12,female_male,62.793538710359726,247,58
1999,egoa,21740,0,total_pre,9.621969242396217,94,17
1999,egoa,21740,1,male,6.71221191561259,43,12
1999,egoa,21740,2,female,7.184377990604588,51,13
1999,egoa,21740,4,total_post,9.567976505482575,94,17
1999,egoa,21740,12,female_male,14.6136160216291,94,17
1999,egoa,30050,0,total_pre,63.1998824188348,336,28
1999,egoa,30050,1,male,32.57829480188433,164,28
1999,egoa,30050,2,female,44.524932017827524,172,25
1999,egoa,30050,4,total_post,56.38390317471449,336,28
1999,egoa,30050,12,female_male,77.15810529815315,336,28
1999,egoa,30060,0,total_pre,71.01163633116573,537,32
1999,egoa,30060,1,male,43.6559686404301,275,30
1999,egoa,30060,2,female,49.30869154535057,261,29
1999,egoa,30060,4,total_post,64.76218664506482,537,32
1999,egoa,30060,12,female_male,95.92466433430363,536,32
1999,egoa,30152,0,total_pre,1.1778267414969568,2,2
1999,egoa,30152,1,male,0.9956764409674566,1,1
1999,egoa,30152,2,female,1.0733084391824064,1,1
1999,egoa,30152,4,total_post,1.1524987490650744,2,2
1999,egoa,30152,12,female_male,1.0726830899989725,2,2
1999,goa,10110,0,total_pre,548.3112241551897,831,78
1999,goa,10110,1,male,238.84358075116083,314,63
1999,goa,10110,2,female,341.83497216004787,515,70
1999,goa,10110,4,total_post,228.1250729696258,831,78
1999,goa,10110,12,female_male,550.0462961272426,829,77
1999,goa,10130,0,total_pre,285.0643236344762,605,47
1999,goa,10130,1,male,117.9318348812273,288,42
1999,goa,10130,2,female,188.4741784809343,316,43
1999,goa,10130,4,total_post,111.35188972779096,605,47
1999,goa,10130,12,female_male,280.04675076387576,604,47
1999,goa,10180,0,total_pre,152.0883849800201,310,55
1999,goa,10180,1,male,61.905054135929944,148,39
1999,goa,10180,2,female,78.94845736698268,162,46
1999,goa,10180,4,total_post,62.176430820439116,310,55
1999,goa,10180,12,female_male,133.456458277428,310,55
1999,goa,10200,0,total_pre,144.8847391410946,385,51
1999,goa,10200,1,male,83.98961811190068,174,39
1999,goa,10200,2,female,67.12657816644554,200,44
1999,goa,10200,4,total_post,59.11205172501622,385,51
1999,goa,10200,12,female_male,152.20148949283777,374,51
1999,goa,10261,0,total_pre,89.03086064046497,382,29
1999,goa,10261,1,male,34.94771514878805,155,25
1999,goa,10261,2,female,52.928793991955935,227,29
